"local_id","local_nombre","comuna_nombre","localidad_nombre","local_direccion","funcionamiento_hora_apertura","funcionamiento_hora_cierre","local_telefono","local_lat","local_lng","funcionamiento_dia","fk_region","fk_comuna","fk_localidad"}
{"4085","FARMACIA VIDACEUTICA","ANTOFAGASTA","ANTOFAGASTA CENTRO","SUCRE Nº 393","08:00:00","20:00:00","+5655","-23.6463448","-70.3972015","viernes","3","12","68"}
{"4086","DR. SIMI","LLAY LLAY","LLAY - LLAY","BALMACEDA 393, LLAY LLAY","09:00:00","21:00:00","+56342612220","-32.8414462874015","-70.9560721264244","viernes","6","60","18"}
{"4087","SALCOBRAND","OVALLE","OVALLE","CENTRO COMERCIAL MALL OPEN PLAZA, PROLONGACIÓN BENAVENTE Nº 1075, LOCAL 1210, OVALLE,","10:00:00","21:30:00","+5653","","","viernes","5","39","95"}
{"4089","CRUZ VERDE","OVALLE","OVALLE","PROLONGACIÓN BENAVENTE Nº1075, LOCAL 1270, MALL OPEN PLAZA, OVALLE","09:00:00","22:00:00","+56","","","viernes","5","39","95"}
{"4091","AHUMADA","ANTOFAGASTA","ANTOFAGASTA NORTE","PEDRO AGUIRRE CERDA Nº9400","10:00:00","21:00:00","+5655","-23.5776499","-70.39076599999999","viernes","3","12","392"}
{"4093","MEDICAR","RECOLETA","RECOLETA","ARZOBISPO VALDIVIESO 424","11:00:00","20:00:00","+560","-33.411454","-70.632738","viernes","7","122","141"}
{"4094","MACPHARMA","QUILICURA","QUILICURA","ARANJUEZ PONIENTE 399, VALLE LO CAMPINO","09:00:00","18:30:00","+560","-33.3835543","-70.7238878","viernes","7","120","139"}
{"4096","LA REBAJA","EL BOSQUE","EL BOSQUE","AV. OBSERVATORIO 645. LOCAL 2. EKONO","09:00:00","20:00:00","+56","-33.560207","-70.670138","viernes","7","90","109"}
{"4097","LATINOAMERICANA","RECOLETA","RECOLETA","RECOLETA 2345","00:00:00","00:00:00","+56","-33.405239","-70.643166","viernes","7","122","141"}
{"4098","LLORENS","TALAGANTE","TALAGANTE","ESMERALDA 1208","10:00:00","20:00:00","+560","-33.665461","-70.929669","viernes","7","133","152"}
{"4099","CRUZ VERDE","VITACURA","VITACURA","AV. VITACURA 4607. LOCAL 19","08:30:00","22:00:00","+56","-33.398342","-70.586475","viernes","7","135","154"}
{"4100","VALLE DE VIDA","PAINE","PAINE","AV. MIGUEL LETELIER 8. PINTUE.","11:00:00","19:00:00","+56","-33.812555","-70.73761","viernes","7","112","131"}
{"4101","AHUMADA","ÑUÑOA","ÑUÑOA","AV. VICUÑA MACKENNA 1048. LOCAL 1470","10:00:00","20:00:00","+56","-33.454807","-70.629927","viernes","7","110","129"}
{"4102","DR. SIMI","MACUL","MACUL","AV. MACUL 4225. LOCAL 1","10:00:00","19:30:00","+560229203112","-33.492448","-70.599843","viernes","7","106","125"}
{"4103","GALENICA","PROVIDENCIA","PROVIDENCIA","AV. HOLANDA 0117. LOCAL 9","09:00:00","21:00:00","+560274882698","-33.420123","-70.603877","viernes","7","117","136"}
{"4104","GANDARA","RECOLETA","RECOLETA","PARQUE RIESCO 3335","11:00:00","20:00:00","+560","-33.3966993","-70.62596880000001","viernes","7","122","141"}
{"4105","SALCOBRAND","PROVIDENCIA","PROVIDENCIA","AV. TOBALABA 1375","08:00:00","22:00:00","+560223717497","-33.426481","-70.590895","viernes","7","117","136"}
{"4108","FARMAPRECIO","INDEPENDENCIA","INDEPENDENCIA","AV. INDEPENDENCIA 802","09:30:00","20:30:00","+56","-33.421878","-70.655633","viernes","7","94","113"}
{"4109","ROCA","MOLINA","MOLINA","QUECHEREGUAS Nº1799","09:00:00","20:00:00","+56","","","viernes","9","181","200"}
{"4110","TARM","RAUCO","RAUCO","O´HIGGINS Nº31","10:00:00","21:00:00","+56","","","viernes","9","186","205"}
{"4111","AHUMADA","LA PINTANA","LA PINTANA","AV. GABRIELA 02541. LOCAL 10","09:00:00","22:00:00","+56","-33.585702","-70.628403","viernes","7","99","118"}
{"4112","LA BOTICA CUBANA","RECOLETA","RECOLETA","RECOLETA 432","09:00:00","20:00:00","+56","-33.427931","-70.646621","viernes","7","122","141"}
{"4113","CRUZ VERDE","ÑUÑOA","ÑUÑOA","AV. JOSE DOMINGO CAÑAS 2151. LOCALES A-B-C-D","09:00:00","22:00:00","+560298709135","-33.456848","-70.608662","viernes","7","110","129"}
{"4114","FARMAPRECIO","SANTIAGO","SANTIAGO ESTE","AV. LIBERTADOR BERNARDO O'HIGGINS 776","09:30:00","20:30:00","+56","-33.442919","-70.647093","viernes","7","130","150"}
{"4115","CRUZ VERDE","ÑUÑOA","ÑUÑOA","MANUEL MONTT 2222. LOCAL 1","08:30:00","22:30:00","+56","-33.44795","-70.613662","viernes","7","110","129"}
{"4117","AHUMADA","LA FLORIDA","LA FLORIDA NORTE","WALKER MARTINEZ 3600. LOCAL 1","09:00:00","22:00:00","+56","-33.522238","-70.556499","viernes","7","97","116"}
{"4118","HUELQUEN","PAINE","PAINE","CAMINO PADRE HURTADO C-2. L344. HUELQUEN","10:00:00","20:00:00","+56","-33.82376","-70.644629","viernes","7","112","131"}
{"4119","FARMACIA CRUZ VERDE","CONCEPCION","CONCEPCION CENTRO","O´HIGGINS 449","08:30:00","21:00:00","+56412229489","-36.828641","-73.052382","viernes","10","210","375"}
{"4120","SAN CARLOS","PUENTE ALTO","PUENTE ALTO NORTE","AV. SAN CARLOS 0581","09:00:00","21:00:00","+56","-33.597338","-70.569459","viernes","7","119","138"}
{"4121","SAN FELIPE","MAIPU","MAIPU SUR","MONUMENTO 1794-2","09:00:00","21:00:00","+56","-33.510824","-70.7588","viernes","7","107","377"}
{"4122","CRUZ VERDE","TALCA","TALCA PERIMETRAL","1 NORTE Nº2119","09:00:00","21:00:00","+56","","","viernes","9","194","417"}
{"4124","OLIPAR","TALCA","TALCA PERIMETRAL","AVENIDA COLÍN Nº0747, 27 Y 28 SUR","09:00:00","21:00:00","+567184405331","","","viernes","9","194","417"}
{"4125","FARMACIA JULIAN","LOLOL","LOLOL","LOS ALERCES N° 125","09:00:00","21:00:00","+56722941311","-34.728201471048415","-71.64579423325188","viernes","8","146","165"}
{"4126","FARMACIA BIOFARMA","CURICO","CURICO CENTRO","ARTURO PRAT Nº116, LOCAL 3","09:00:00","20:00:00","+5627463","","","viernes","9","174","193"}
{"4127","FARMACIA DON FERNANDO","TALCA","TALCA PERIMETRAL","16 SUR 9 1/2 ORIENTE Nº1526","09:00:00","22:30:00","+562281262","","","viernes","9","194","417"}
{"4129","SALCOBRAND","SAN PEDRO DE LA PAZ","SAN PEDRO DE LA PAZ NORTE","CAMINO EL VENADO 716 CUMBRE DE ANDALUÉ","09:00:00","22:00:00","+5641","-36.84964941607516","-73.09310543544314","viernes","10","240","259"}
{"4130","FARMACIA KNOP","PUERTO MONTT","SECTOR CENTRO","TALCA Nº117 PUERTO MONTT","09:00:00","20:00:00","+56652318888","-41.4726845","-72.94323380000003","viernes","13","311","384"}
{"4132","FARMACIA CENTRAL DE HOMEOPATÍA HAHNEMANN","PUERTO MONTT","SECTOR CENTRO","ILLAPEL N° 10 LOCAL 108 PUERTO MONTT","00:00:10","00:00:20","+56652311438","-41.472333","-72.93657719999999","viernes","13","311","384"}
{"4134","INTEGRAMEDICA","VIÑA DEL MAR","PLAN DE VIÑA","TRECE NORTE 853 PISO 5","08:00:00","20:00:00","+56322658167","-33.0103322135549","-71.5467165027983","viernes","6","80","28"}
{"4135","ECOFARMACIAS","VILLA ALEMANA","VILLA ALEMANA","VALPARAISO Nº 630","09:00:00","21:00:00","+5658677","-33.0442020061431","-71.3728816554045","viernes","6","79","40"}
{"4136","FARMACIAS DEL DR SIMI","SAN ANTONIO","SAN ANTONIO","AV.CENTENARIO Nº293","09:00:00","21:00:00","+56352215479","-33.5798339547452","-71.6090108181003","viernes","6","73","19"}
